,Player,Runs_scored_2022,HS_2022,Batting_avg_2022,Ballsfaced_2022,Batting_strikerate_2022,4s_2022,6s_2022,Wkts_taken_2022,Overs_bowled_2022,Runs_given_2022,Bowling_avg_2022,Bowling_economy_2022,bowling_strikerate_2022,4w_2022,5w_2022,Matches_in_2022,Runs_scored_2023,HS_2023,Batting_avg_2023,Ballsfaced_2023,Batting_strikerate_2023,4s_2023,6s_2023,Wkts_taken_2023,Overs_bowled_2023,Runs_given_2023,Bowling_avg_2023,Bowling_economy_2023,bowling_strikerate_2023,4w_2023,5w_2023,Matches_in_2023,Runs_scored_2024,HS_2024,Batting_avg_2024,Ballsfaced_2024,Batting_strikerate_2024,4s_2024,6s_2024,Wkts_taken_2024,Overs_bowled_2024,Runs_given_2024,Bowling_avg_2024,Bowling_economy_2024,bowling_strikerate_2024,4w_2024,5w_2024,Matches_in_2024
0,Aaron Finch,86,58,17.2,61,140.98,10,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Abhijeet Tomar,4,4,4,8,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ajinkya Rahane,133,44,19,128,103.9,14,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Aman Khan,5,5,5,3,166.66,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Andre Russell,335,70,37.22,192,174.47,18,32,17,28.1,278,16.35,9.86,9.94,1,0,14,227,42,20.64,156,145.51,13,18,7,15.1,172,24.57,11.34,13,0,0,14,222,64,31.71,120,185,20,16,19,29.2,295,15.52,10.05,9.26,0,0,15
5,Angkrish Raghuvanshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,54,23.29,105,155.23,16,8,0,0,0,0,0,0,0,0,10
6,Anukul Roy,0,0,0,0,0,0,0,1,7,55,55,7.85,42,0,0,2,23,13,11.5,19,121.05,3,0,3,8,65,21.66,8.12,16,0,0,4,3,3,0,3,100,0,0,0,0,0,0,0,0,0,0,4
7,B Indrajith,21,15,7,30,70,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,David Wiese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,21,11,190.9,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Harshit Rana,2,2,2,2,100,0,0,1,5,51,51,10.2,30,0,0,2,0,0,0,0,0,0,0,5,17,147,29.4,8.64,20.4,0,0,6,0,0,0,0,0,0,0,19,42.1,383,20.15,9.08,13.31,0,0,13
