POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
12,Rishabh Pant  DC,446,13,13,2,88*,40.55,287,155.4,0,3,36,25
22,Tristan Stubbs  DC,378,14,13,6,71*,54,198,190.9,0,3,24,26
29,Jake Fraser - McGurk  DC,330,9,9,0,84,36.67,141,234.04,0,4,32,28
30,Abishek Porel  DC,327,14,12,2,65,32.7,205,159.51,0,2,36,13
43,Axar Patel  DC,235,14,12,4,66,29.38,179,131.28,0,2,19,10
52,Prithvi Shaw  DC,198,8,8,0,66,24.75,121,163.63,0,1,30,5
57,Shai Hope  DC,183,9,9,1,41,22.88,122,150,0,0,12,12
60,David Warner  DC,168,8,8,0,52,21,125,134.4,0,1,17,10
87,Mitchell Marsh  DC,61,4,4,0,23,15.25,38,160.52,0,0,9,3
93,Kuldeep Yadav  DC,47,11,5,2,35*,15.67,41,114.63,0,0,6,1
103,Rasikh Salam  DC,28,8,4,0,10,7,30,93.33,0,0,4,0
115,Gulbadin Naib  DC,19,2,1,0,19,19,15,126.66,0,0,1,1
118,Sumit Kumar  DC,18,4,3,1,9*,9,24,75,0,0,2,1
131,Lalit Yadav  DC,10,2,2,0,7,5,12,83.33,0,0,1,0
145,Anrich Nortje  DC,4,6,2,0,4,2,8,50,0,0,0,0
149,Kumar Kushagra  DC,3,4,3,0,2,1,7,42.85,0,0,0,0
150,Mukesh Kumar  DC,3,10,2,1,3,3,9,33.33,0,0,0,0
151,Ricky Bhui  DC,3,2,2,0,3,1.5,9,33.33,0,0,0,0
154,Jhye Richardson  DC,2,1,1,0,2,2,2,100,0,0,0,0
163,Lizaad Williams  DC,1,2,1,1,1*,-,2,50,0,0,0,0
167,Ishant Sharma  DC,1,9,2,2,1*,-,7,14.28,0,0,0,0
