POS,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
13,Khaleel Ahmed  DC,17,14,14,50,479,21/2,28.17,9.58,17.64,0,0
14,Mukesh Kumar  DC,17,10,10,35.3,368,14/3,21.64,10.36,12.52,0,0
17,Kuldeep Yadav  DC,16,11,11,43,374,55/4,23.37,8.69,16.12,1,0
28,Axar Patel  DC,11,14,14,44,337,25/2,30.63,7.65,24,0,0
38,Ishant Sharma  DC,10,9,9,27,265,34/3,26.5,9.81,16.2,0,0
42,Rasikh Salam  DC,9,8,8,24.3,269,34/3,29.88,10.97,16.33,0,0
55,Anrich Nortje  DC,7,6,6,22,294,59/3,42,13.36,18.85,0,0
72,Tristan Stubbs  DC,3,14,2,2,15,2-Nov,5,7.5,4,0,0
96,Lizaad Williams  DC,1,2,2,6,72,38/1,72,12,36,0,0
97,Mitchell Marsh  DC,1,4,3,8,103,37/1,103,12.87,48,0,0
